Expenditure group,Expenditure Sub group,Year,Mean monthly household consumption expenditure (RM)
Food and non-alcoholic beverages,Rice,2004/05,36
Food and non-alcoholic beverages,Rice,2009/10,42
Food and non-alcoholic beverages,Rice,2014,42
Food and non-alcoholic beverages,Rice,2016,44
Food and non-alcoholic beverages,Rice,2019,42
Food and non-alcoholic beverages,Bread and other cereals,2004/05,44
Food and non-alcoholic beverages,Bread and other cereals,2009/10,53
Food and non-alcoholic beverages,Bread and other cereals,2014,89
Food and non-alcoholic beverages,Bread and other cereals,2016,97
Food and non-alcoholic beverages,Bread and other cereals,2019,108
Food and non-alcoholic beverages,Meat,2004/05,54
Food and non-alcoholic beverages,Meat,2009/10,64
Food and non-alcoholic beverages,Meat,2014,101
Food and non-alcoholic beverages,Meat,2016,104
Food and non-alcoholic beverages,Meat,2019,109
Food and non-alcoholic beverages,Fish and seafood,2004/05,82
Food and non-alcoholic beverages,Fish and seafood,2009/10,98
Food and non-alcoholic beverages,Fish and seafood,2014,150
Food and non-alcoholic beverages,Fish and seafood,2016,158
Food and non-alcoholic beverages,Fish and seafood,2019,169
Food and non-alcoholic beverages,"Milk, cheese and eggs",2004/05,31
Food and non-alcoholic beverages,"Milk, cheese and eggs",2009/10,38
Food and non-alcoholic beverages,"Milk, cheese and eggs",2014,56
Food and non-alcoholic beverages,"Milk, cheese and eggs",2016,59
Food and non-alcoholic beverages,"Milk, cheese and eggs",2019,64
Food and non-alcoholic beverages,Oils and fats,2004/05,12
Food and non-alcoholic beverages,Oils and fats,2009/10,13
Food and non-alcoholic beverages,Oils and fats,2014,17
Food and non-alcoholic beverages,Oils and fats,2016,22
Food and non-alcoholic beverages,Oils and fats,2019,24
Food and non-alcoholic beverages,Fruits ,2004/05,27
Food and non-alcoholic beverages,Fruits ,2009/10,26
Food and non-alcoholic beverages,Fruits ,2014,39
Food and non-alcoholic beverages,Fruits ,2016,48
Food and non-alcoholic beverages,Fruits ,2019,53
Food and non-alcoholic beverages,Vegetables,2004/05,44
